fsq_id,name,city,categories,address,latitude,longitude,reviews,photos
['52958c2d11d2ce1a0539c550'],Umm Al Emarat Park (حديقة المشرف المركزية),Abu Dhabi,['Park'],"Al Karamah St (Mohammed bin Khalifa St), أبوظبي",24.453232,54.381196,"['Incredibly well designed park for The whole family. Fountains, lots of open grassed areas and flower gardens.', 'Beautiful Park with excellent services,  wide open green spaces, playgrounds. Petting barn,  farm botanical garden and a panoramic view of the area, lots of live activities for young kids 10/10', ""Beautifully reopened Mushrif central park... Don't miss the Ripe Night Market while the weather is good... Much bigger than the one in Saadiyat with more options.."", 'Beautiful park 🌳 beautiful atmosphere ☘️ good to have a time with family and friends 👍 entrance price is 10 DH 💫', ""The park has an amusement park inside with many rides and activities for kids. As a 'ladies only' area, be aware that taking pictures is not allowed. Learn more here: http://roho.it/qsstf"", 'If you are visiting during the winter time you must visit this beautiful and relaxing park plenty to see and perfect for everyone in the family', 'Fried halloumi at the food festival.. Dont miss it.. From 18th feb to 20 feb.. A must for all food lovers ❤️', ""Beautiful design park that used to be called al mushref park.  It has Home bakery & Parker's cafe inside"", 'This park has seen a makeover. The new park is spacious and clean. Ripe Market is a must during Winter. Entry fee of 5 Dhs', 'A beautiful place...great place to relax in their coffee shop or have fun with the kids (animal feeding area)']","['https://fastly.4sqi.net/img/general/original/424262085_MufGuHpXP4dSW8f4oON6BAghTB8_PCmYVJUDYybKlzk.jpg', 'https://fastly.4sqi.net/img/general/original/523983688_-Sm4bUT3mRhdy-r3ANXif1P81t2IL-3GbiRGX9g2zHU.jpg', 'https://fastly.4sqi.net/img/general/original/26107793_77zeLIiFt7TRWVxj1XWMk_IYl-Rzv9xgSCzemmXkPXY.jpg', 'https://fastly.4sqi.net/img/general/original/26107793_Jzx0lAQFhhWybq5IzUpBncCwX_FGRtDmYBd3WWmoNb4.jpg', 'https://fastly.4sqi.net/img/general/original/26107793_bvrBDrW6vRX4KWQuWhYgSQIPZ2oI5ySBcNhRxg-WGAA.jpg', 'https://fastly.4sqi.net/img/general/original/63036314_U0M8BH_DwVlteZgkvi-kKlc7qCRNOdTa7fTImJ2nUbc.jpg', 'https://fastly.4sqi.net/img/general/original/136804684_L5_0Pf55i9jXqsys9H1_JMN5Xcl-451kfGnrPKp_qu0.jpg', 'https://fastly.4sqi.net/img/general/original/5049137_2IXRju5miX2QHaJxJP9Y9fiCalAtuDEPzsI_uV2Rgew.jpg', 'https://fastly.4sqi.net/img/general/original/5049137_eI9-up_S4SPidJzeSY6BcFahvvhH-8q4SJ8R_dEnPTk.jpg', 'https://fastly.4sqi.net/img/general/original/46704196_EJrqGlmp8y69KZR66NHbBBHSXEg8-MFtZ1WOt_mhYH4.jpg']"
['538754fe498ecc2c32d17549'],Salt,Abu Dhabi,['Restaurant'],"Al Mushrif - W24-02 (at Umm Al Emarat Park) (15th Street), أبوظبي",24.454317,54.381043,"['Its nice to treat yourself to Salt every once in a while, delicious burgers wether you get beef or chicken its all good! Lotus milkshake is a must', 'I like the atmosphere , but the burgers are overhyped, they have good coffee too, which makes it up :)', 'AD branch is extremely convenient! dine ins or takeaways thru drive thrus. lots of parking available. my fav is their cheetos chicken, fries and lotus icecream', 'the best SALT branch in the middle of the garden just lovely and peaceful 🪴 🌳 🍔 🍟.', 'Hook burger is great and the single too . If u like chicken then there this a sandwich for you .', ""The hook burger is my fav, and oh god the fire fires is so yummy. Definitely not overrated as other people say. One of the places you'll come back to."", 'Chicken cheetos burger & Lotus shake 😍👌🏽', 'The bun (bread ) 👌, the cheese 👎and the beef  ( so so )', 'The atmosphere was really chill and fun. Good place to hangout with friends.', 'Try the cereal latte hot in this winter weather& affagato cold drink ☕️']","['https://fastly.4sqi.net/img/general/original/12888013__qRuGe_DX3HQbl6V1ydxjdbugtDnUSFBCM-4kzRP-qY.jpg', 'https://fastly.4sqi.net/img/general/original/62944589_IexFaQJezgsj83mq9GaFD8bjnHMXm0W7PfMmfsHw-X4.jpg', 'https://fastly.4sqi.net/img/general/original/64104273_tfzMF5Slb_nOn0RTDiaklF6ZSx_YBCrIPyWt8DIzyF4.jpg', 'https://fastly.4sqi.net/img/general/original/33692070_xpKiO8fnWgJuIQm6k3QbGuqxYCvhWpsVJaQb63v65UM.jpg', 'https://fastly.4sqi.net/img/general/original/33692070_chSgV5glebJPBrWICIY499J9TfK7Fw_KFJ1KLvOmsZQ.jpg', 'https://fastly.4sqi.net/img/general/original/522392941_47wRiip7UrxFewXKDSb649uCn58W7Ey1pDZjI8S625w.jpg', 'https://fastly.4sqi.net/img/general/original/451077170_CCIhDc680FyFU-UMDNw2Dn4s1TeZlfO-Struq_lv6uE.jpg', 'https://fastly.4sqi.net/img/general/original/451077170_AjnRb_Z3pvcdRaj1sD_9cNRqNAIitQ5vNEQH8UOwg_8.jpg', 'https://fastly.4sqi.net/img/general/original/562689387_wuWicScLMUiQpYPCi9W2N0ZW9lwZ6Q8w1H810XYjSrg.jpg', 'https://fastly.4sqi.net/img/general/original/1296389_UjT76s4mSPeNuLLXOg6bGhwg4dgpQs1VmAF8h8qOHjs.jpg']"
['512f5060e4b0a28d8f1f9709'],Qasr Al Hosn (Qasr Al Hosn قصر الحصن),Abu Dhabi,['Historic and Protected Site'],"Al Hosn, Sheikh Zayed, أبوظبي",24.482631,54.356445,"['An annual event made in Abu Dhabi to bring back all the beautiful memories of the past. Learn about the heritage and culture of the UAE. Well organized. A must', ""Historical and we'll  maintained , where the sheiks of AD used to live and it's in the middle of the city, the fortress now is a very well organized museum with photos background sounds and old relics"", 'I was lucky to visit AD at this time exactly.I came here by coincidence and it turned out to be one of the best spots in AD. A place rich in culture with amazing volunteers who are welcoming and kind.', 'Recommend a tour of the fort and outer palace during the cooler months. The Bait Al Gahwa is a great experience to understand the Emirati coffee culture', 'Beautifully presented, kept and restored to perhaps get a feel for ‘the real UAE’. Staff are amazing and the whole thing is incredibly well executed. Coffee ceremony also worth it and very affordable!', ""It was one of the best experiences I've had at work..great place, amazing people, wonderful culture and traditional dances and the heritage of the UAE !! I'm going to miss it <3"", 'Sitting adjacent to the Qasr Al Hosn fort is the Culture Foundation - a permanent exhibition telling the story of Abu Dhabi and its people.', 'Look out for the coral stone bricks from the 1760s visible under the white render on the fort’s walls to admire the original brickwork of the structure.', 'The celebrations of qasr al hosn completing 250 years old are just one of a kind.  I liked the show, it was amazing.', 'Want a sex toy of good quality with free&safe delivery? Get on our website and check: boundjoyuae.com 🚚🔞✅ 100% genuine and discreet shipping! Or just WhatsApp us on +12298050601']","['https://fastly.4sqi.net/img/general/original/21292425_FUD0K2nrD-8tvPkYQdixrE5HVAPtwDFdXyUqKdNoxBE.jpg', 'https://fastly.4sqi.net/img/general/original/21292425_3UxpxO9ogwHzLgztSpGaRm1Aj8Xw08mDzfW8f9rAJMc.jpg', 'https://fastly.4sqi.net/img/general/original/21292425_LYApKQySFuUy9TxCN4Q2E_frC4Jrl8yJg24mHSyhp5A.jpg', 'https://fastly.4sqi.net/img/general/original/21292425_ucr8A6wLil29qyziFpfI0eTNmqCvvXAEJ8N4jCZ4Fjk.jpg', 'https://fastly.4sqi.net/img/general/original/60733471_sOdwOY1FXb63xcGEhhcuzvKpzaub-QXr8tqzOpZ7wj0.jpg', 'https://fastly.4sqi.net/img/general/original/479595192_vm3xJRK_pEJoy4ewVOk_KY9rs5EilszMfX3lsXpSuoE.jpg', 'https://fastly.4sqi.net/img/general/original/479595192_60pnqX6KMQcbyIHMD783WMaXdgOTAoOWEbAseZ6iWmE.jpg', 'https://fastly.4sqi.net/img/general/original/479595192_Av-Wt9qdoGjbL25YCrZqLyYB5bmwVJOzOnooW6y-yWE.jpg', 'https://fastly.4sqi.net/img/general/original/21292425_0dA-hfcCzKkXzrdY5Ua_45A8-YUaBJ85-wq7uJxzn8o.jpg', 'https://fastly.4sqi.net/img/general/original/21292425_aAmyFvqqOTxII_BT5ymvQsKKhBTocO4YMB62CuPMpso.jpg']"
['4eff594ce300fdc048718925'],Corniche (الكورنيش),Abu Dhabi,['Beach'],"Corniche St, أبوظبي",24.472094,54.337466,"['Lots of great facilities including children’s play areas, separate cycle and pedestrian pathways, cafés and restaurants. Close to Emirates Palace and the Heritage Village. http://bit.ly/1bYzDTF', 'This place is active all the time. Good for families. It has private and public beach. Restaurants are in the middle. Good for exercising and activities. Bicycle renting is available. Perfect View 👍', 'Safe, clean, but reaaaally hot in the summer months. We rented a family bike and went up and down the whole strip. Fun workout!', 'Excellent spot for jogging, there are several public bathrooms along the way and the view during the day is breathtaking.', ""Apart from walking, you can rent a bike in the several kiosks you'll find along the pavement, and have a ride around the 7km that takes to reach the Abu Dhabi breakwater. Read more http://roho.it/qhet"", 'The sea view is awesome. Great for actives and gatherings. Usually busy in winter. Cafes and bike rentals are available.', 'One of the smartest moves Abu Dhabi ever did! This amazing corniche adds so much culture and richness to the city especially when you see all the residents enjoying their time outdoors!', 'Pulse Corniche. Constant flow of light patterns illuminates the skyline at night. Heartbeats will make this lights dance. Only at Corniche Abu Dhabi. Beautiful.', 'Stroll along the wonder stretch of beach and let your worries fade away.', 'Sea view.. has cafes and dessert places(cold-stone, BR, sugar daddy). Holds events every while, and has beach fun activities.']","['https://fastly.4sqi.net/img/general/original/12897377_a2id9VRLfmHeGYUnFna61r1zYxjostEjb-lHaNaaHCM.jpg', 'https://fastly.4sqi.net/img/general/original/479595192_Ey0ZhTW4VKhNjS-OabGhxLSkgM2hhbY6GY1y1cEcSxM.jpg', 'https://fastly.4sqi.net/img/general/original/61423427_1XiGfJkz2WKypXRDvQyeI63rhV25tgyBQpCeVtVZv1s.jpg', 'https://fastly.4sqi.net/img/general/original/479595192_s9gbStAIFoyXMlz9Ur1FLW-Sb43zB10CNu1XVAA7qBI.jpg', 'https://fastly.4sqi.net/img/general/original/21292425_HCc2gXALA1jA5ubjavYyJCGSwPmB6MJaphVn6ZZqTRs.jpg', 'https://fastly.4sqi.net/img/general/original/20502557_dknS88JuDmXNHU5nB-op-5Q0VrRXRl_wAPU0q1hXhX4.jpg', 'https://fastly.4sqi.net/img/general/original/20502557_o5PZuAkp9HbxDAV2LsnL8mR4PYTt9hbKWXzdLzvIRIQ.jpg', 'https://fastly.4sqi.net/img/general/original/10470138_cES1J4a_cNYylRnhQn0Co_1OJ2bKLS6ui678hWuYnNI.jpg', 'https://fastly.4sqi.net/img/general/original/10470138_cji2w-UQh7RFPIUg7uKxLsA0xtbXhxQmGTLZrUMV35c.jpg', 'https://fastly.4sqi.net/img/general/original/10470138_X5rT1Bq07NuhO99JcGhqsVkRGvPnIwwaYmbvTdZayCU.jpg']"
['58c02e7e30ecc66fc54f0a2c'],Tasha's,Abu Dhabi,['African Restaurant'],"Unit B02 Cafe (Marsa Al Bateen), أبوظبي",24.452782,54.33968,"['One of the best restaurants in town ,amazing breakfast good service beautiful interior . I recommend their french toast and “tortoru “ not sure about the name😅 it was scrambled egg with potatoes 😋', 'Salads are good. The. Picture shows a cream Catalana which I believe was exclusive to Al Bateen Branch(but I could be mistaken, dont remember which menu I ordered from)', 'great place, nice setting, great location by the sea, excellent ingredients, good size portions, ok pricing. Filet is excellent and salads are of a great variety. Well done;', 'Beautiful breakfast 🍳 & brunch spot 💫  and omelette and croissant 🥐 was good 👍 and the African staff was friendly and helpful 🤍 but they need to improve their coffee ☕️😕', ""love the food and the service. good for any meal of the day. love that theyre in AD now i just hope they'd change the space/layout. its so uncomfortable"", 'A beautiful place with the most delicious food❤️. We ordered von vol vount , pasta and bergo chicken i think and they were perfect and so yum . We Will always be back', 'Tried the paella which is only on AD branch menu.. Big NO.. I think the quinoa salad and chicken Milanese are still my best choices in tashas', 'Spanish themed breakfast, Majorca and Spanish Eggs were yummy and good sized portions. “Low hanging fruit” juice and cold brew with passion fruit were also great. Outside seating is quieter.', 'A place for breakfast lovers. HEALTHY, QUICK and so many options to start your day. I love the place when I want to enjoy my book with an amazing sea view.', 'Same as the one in Dubai AWESOME 😍😍😍😍 taxes salad 🥗 is the best']","['https://fastly.4sqi.net/img/general/original/66507407_NFE0IvqVJNT8_iqt8x-oc85FVac1KINyMY6ZIFk6s-0.jpg', 'https://fastly.4sqi.net/img/general/original/444508476_TmIOuN9dYFuT8TScytMO9uPzb0KbFiF8Nud61nAsY_o.jpg', 'https://fastly.4sqi.net/img/general/original/401767697__utl_O9ra3cS5dNxEV-pwPcVlS0nJgR9zjgs3e5mGgA.jpg', 'https://fastly.4sqi.net/img/general/original/62615992_4N_pOQq9Gywvk0YxrV4PrlPCYyKwRgcRRFLMw-lvCmo.jpg', 'https://fastly.4sqi.net/img/general/original/539758226_1y5Ze6ek3VmLnVTQyUAgorD45wqwu12uBMu3EGLquPU.jpg', 'https://fastly.4sqi.net/img/general/original/173524881_0XS6mmLMjZvO1En0NL95qyYKOXZTE-2_G3bW5T7ppTs.jpg', 'https://fastly.4sqi.net/img/general/original/75454948_6IdGb-Hg6UajlkcURB4prHEfD04MoI34q7clQCQiYZw.jpg', 'https://fastly.4sqi.net/img/general/original/106976179_kgmpcyJmISx5LN82NOq4a0CWdpR_YncnsN-4W9f0DiQ.jpg', 'https://fastly.4sqi.net/img/general/original/349470114_3zYVhOQEjQ0WK3FiknFm33aaFWu-eyJY7Rbp-Zpu_vA.jpg', 'https://fastly.4sqi.net/img/general/original/26233153_d3lBdnui19FwqOcVFHs6uDUJDRI47wgWR2GFpq128hc.jpg']"
['4cb5d09ce262b60c8b456ae0'],Lake View Park,Abu Dhabi,['Park'],"Corniche Rd, أبوظبي",24.491458,54.353479,"['Best place for couples to relax...very quiet and free! Also a lovely view (better in the winter)', 'Best place for jogging.', 'Nice place', 'Enjoy the view', 'Самый красивый парк в Абу-Даби. Оазис просто. Можно сделать красивые фотки.', 'На Новый год здесь большой и красивый фейерверк']","['https://fastly.4sqi.net/img/general/original/7488856_F1DSjDliwjXpHyPxplvY03N26ys_uE4SvLoiuvsuynQ.jpg', 'https://fastly.4sqi.net/img/general/original/8393766_pzr1Jf91qjdbivtFUpsN1Cv4LK7VY6koxEo71tZDNig.jpg', 'https://fastly.4sqi.net/img/general/original/77913785_9GADtiFtBDg9KAyS_EnTuz3SOMTqhixzt6Va5VpZ7qM.jpg', 'https://fastly.4sqi.net/img/general/original/45448069_Zu47u_4V7AfmreQZkS7bD3wNnaFCaaSBRXNdbGvg53Q.jpg', 'https://fastly.4sqi.net/img/general/original/577631614_nT8pachaBpoNtNLBB1FQuZR7Era7tHaZs2Z_wxkekTE.jpg', 'https://fastly.4sqi.net/img/general/original/45448069_Y9zJIIyInBr1fpRaz1InohuGITCUbYh46gkmtyLUch4.jpg', 'https://fastly.4sqi.net/img/general/original/16105140_D8uwsgChCIl_Lc-Wd8jksOc0wyFvw2p5Bd6vv7N9yQc.jpg', 'https://fastly.4sqi.net/img/general/original/529945911_zHrT6F0aSiCWQ0uA0BySL03dfOPwCsfIIWXUt1xw7-A.jpg', 'https://fastly.4sqi.net/img/general/original/529945911_eCh6y04nRiuwOH6p8lWq-BpPe5CIq_wzKevUPSbFa_U.jpg', 'https://fastly.4sqi.net/img/general/original/57277944_lp082zkUObPf7Dso7FGjUFcRB5l_cOLTcYFXi51I8UU.jpg']"
['4b67b6a3f964a520bb5b2be3'],Abu Dhabi Country Club,Abu Dhabi,['Golf Course'],"Al Mushrif, أبوظبي",24.440121,54.379683,"[""You don't have to be a member to attend the classes! They have 12 sessions cards for 500aed. Classes are amazing especially Body Pump, Zumba & Circuit training."", 'The worst Zumba I have ever been too. Yet the best TRX class, and CX workout. Highly recommend the last two', 'Amazing facility for different kinds of sports: gym, tennis etc', 'Clean Geean spaces many activities from squash to tennis to pool to gym to free fly to basket ball and more', ""It is so annoying that the schedule changes every week! For god's sake just do it on a monthly basis. So frustrating"", 'Zumba class is the best! According to my experience. I just wish it was available everyday!', '👌👌👌👌 gym + restaurants & alot of activities', 'Try out our ramadhan iftar buffet in silver ballroom....lots of choices to eat and tasty...!!!', 'Love the gym.. And the cats 😍😍', 'Sardenia is beyond amazing 🙏 Perfect party hall.']","['https://fastly.4sqi.net/img/general/original/1368699044_Z11K1BulxJt8TaVtU-ZpNnB-6a-mWFcLz8ZuuKiXrbA.jpg', 'https://fastly.4sqi.net/img/general/original/19273269_kC-h7Vu-Rz0T7jOFIv8Uo64PJynrZ_aFmf_qdSBnqDw.jpg', 'https://fastly.4sqi.net/img/general/original/465058179_aHK4ktCRk49o3h2tf5JBPIO5fpisi0Cv8NZTHu2mUt8.jpg', 'https://fastly.4sqi.net/img/general/original/37949348_VZYbtvHxmCdN8LeySibfwcXPCShFS0XbaA_IQ_lEcOM.jpg', 'https://fastly.4sqi.net/img/general/original/37949348_kkwOGsa-pdbLCVK6tTzmVAKIQYO16fFplobv4-nvNdw.jpg', 'https://fastly.4sqi.net/img/general/original/37949348_awJY2lW0ePTIqWhbEzwCAdCNrkZoG_-ci9Kuvh2Iz2U.jpg', 'https://fastly.4sqi.net/img/general/original/79209265_aGQKuVWgHLYL8Hp2uw_8bK06HmoRGozx4Uu9CmOFEkk.jpg', 'https://fastly.4sqi.net/img/general/original/468168998_OU_lfQ6wKL9oYS08fEhkNzol6rKxh1OlpcH64_THnAs.jpg', 'https://fastly.4sqi.net/img/general/original/415371496_PdZEyax9Kr8hnB4sX5qpHIvcrv2wM5AJQh2ysTHUckE.jpg', 'https://fastly.4sqi.net/img/general/original/83199921_ZMJyQvXr3saWrqM8_twf0V0O5s6kgMSdR0HPSIPa81Q.jpg']"
['549f9a04498e8b6d4985e411'],Catch,Abu Dhabi,['Seafood Restaurant'],"Corniche Road West Nation Riviera Beach Club (Corniche Road), أبوظبي",24.465627,54.327545,"['The food and cock-/mocktails are amazing. I had the best mochi ever! Note: happy hours is NOT for Mocktails!!! 😭😭😭', ""Mark is the coolest waiter I've ever met! Ask for him :) thank u Mark! black cod, fried calamari, duck rolls, special California and blow torch dynamite roll."", 'Duck rolls, ribs, black cod, sishis... Everything is good. With such focus on details this place faces the challenge of consistency. I hope they will do it.', 'Reminds me of Zuma. Loved it. Try their shrimps with dry chili & cashews, beef short ribs, spiced thai chicken, crispy chicken salad, special california, catch sushi, black cod, chocolate sphere.', 'Calamari and prawns are good for starters. California sushi rolls and lobster are amazing. I also suggest the ""pan roasted sea bass"".', 'Very nice Ambiance have an outdoor seating. Nice sea food and sushi, Also mocktails. Happy hour from 4pm to 8 pm. Overall 9/10', 'The sushi is fresh, delicious and creatively plated. Try out their spicy tuna and blow-torch dynamite roll. If you are a coconut lover, the Caribbean Breeze mocktail is a must try.', 'Seafood.. seafood.. and seafood. Live entertainment over dinner. Spot for cocktails & wine lovers. Fantastic view of the Corniche. A place to see and be seen.', 'Grilled prawns for starters, blow torch dynamite roll, dragon roll, and black cod. For drinks get passion virgin mojito.', 'Beautiful setting and fresh delicious food. Loved the Asian and quinoa salads. Creepy passion fruit mojito 😅']","['https://fastly.4sqi.net/img/general/original/50425214_Ci7boTfBFFjfHNkhmld2w6ACBkrSRqvdXulF8dvG-Cs.jpg', 'https://fastly.4sqi.net/img/general/original/50425214_-WKRhXiQBi9VGDRjUfXlApHvxRbWTWaCYW2kQe--F5I.jpg', 'https://fastly.4sqi.net/img/general/original/46593290_mOHQe97CDEVIoliNeTdG0HgspOBcOE0vzfuErK-d6Rc.jpg', 'https://fastly.4sqi.net/img/general/original/50425214_Kq6RX_T9yZviNco3AYQji-6pbl66IXNyIr4qaW5-32M.jpg', 'https://fastly.4sqi.net/img/general/original/50425214_fK2jb0U17J06RxB0_CM-DakSLcMMbXJghlX_4-OnYt0.jpg', 'https://fastly.4sqi.net/img/general/original/50425214_gaaZWXkq5LEsC3hIraTrA4Uj7s8Eb4APxN-OG1V2MAg.jpg', 'https://fastly.4sqi.net/img/general/original/57958156_afE0F1a3CfptlawMHcQA0fEI3-suVvrgMe2Y9L7xVhc.jpg', 'https://fastly.4sqi.net/img/general/original/50425214_uC1ZwvD-a-ptredK90gYdpQRargwZdLKvH1tvhaaCJ0.jpg', 'https://fastly.4sqi.net/img/general/original/38640892_xUQxvv5bGSaCAbWn0vgalTV0Ur2rAVhyBh-GofxLTXI.jpg', 'https://fastly.4sqi.net/img/general/original/57958156_TuBseNMg5yr4qkiFUk0fMItVtW0Jgy6pqVI1Ch1Irvs.jpg']"
['51f23f768bbddf101c4731e2'],Zuma Abu Dhabi,Abu Dhabi,['Japanese Restaurant'],"Abu dhabi global market, أبوظبي",24.500489,54.38774,"['Best Japanese restaurant in     Abu Dhabi. Excellent food. Loved everything I ordered. Must try the sweet corn with butter. Their sushi is one of the best as well . You will enjoy for sure.👌🏻', ""Great atmosphere, beautiful set up, reasonable music volume and delicious food. Overall it's the better than the one in Dubai. Seared sea bass, salt and pepper squid, soft shell crab, black cod yum!!"", 'Atmosphere & Service were amazing 👏 Tried 👉 Fried Edamame, Ebi Maki, Grilled Eggplant👌, Lobster tempura, Prawn Gyoza, Rock Shrimps, Salmon sashimi, Spicy beef, Spicy tuna maki & chocolate fundo✔️💯', 'Best Japanese Resturant I have ever been tooDon’t miss the spicy miso soup, edamame , shrimp rock , spicy tenderloin beef and tempura sushi. Amazing ambience & talented music band.always book a head', 'With over 15 international franchises, this popular spot is definitely one of the best in town. I recommend the truffle hotpot and the signature chocolate fondant, a must-try for anyone visiting.', 'Believe it or not better than the one in London! View, service, staff and great location next to galleria mall 👌🏼', 'One of the dining & lounge spots for Japanese fashion. Must-try: Jumbo Tiger Prawn with Yuzu Pepper, Negroni served with a thin slice of chocolate is nice.  I love Zuma stamped ice cubes in my glass.', 'Black cod is definitely a must ! I tried the shrimp rock, shrimp gyoza, sweet corn and they were amazingly delicious. The sushi was ok..Make a reservation, otherwise you will be seated to the counter.', 'The place is beautiful and delicious eating. Sushi California wonderful taste', 'Best dishes: Lobster tempura, salmon sashimi, crab soup and seabass *signature*.  If you like wasabi go for the beef caviar. For dessert: green tea cake w/banana & coconut ice cream']","['https://fastly.4sqi.net/img/general/original/6601700_I9Sc1NAgk6cF-rdC_IfcIrF3N5iFnK7S4WFo6-7FVJE.jpg', 'https://fastly.4sqi.net/img/general/original/20408402_bN-YG6TnwBXaqudsDPjhwn0gNADLIJQdbIMwQYT-mig.jpg', 'https://fastly.4sqi.net/img/general/original/33201383_AkXklQ6EM7jY0GafyhvJD161h-zaGvxBUskN1Hlpxcs.jpg', 'https://fastly.4sqi.net/img/general/original/1842711_g0v85u2hyM_BpM6qVh2al0MbmXWtNaF5ywlYmGSmBt0.jpg', 'https://fastly.4sqi.net/img/general/original/20555557_HOJkZPAjNnflWOpLqBndFcj1QKAa0ypNETRGf3F_WpA.jpg', 'https://fastly.4sqi.net/img/general/original/79209265_YYHWe-JDQ27uBu3uqLWhvAp1OnIfszzEqj33LLn4K98.jpg', 'https://fastly.4sqi.net/img/general/original/59522487_i6UyWCasiJYSHthpJqde2ltx9hPxpQU0m6QLDkL-2hg.jpg', 'https://fastly.4sqi.net/img/general/original/20555557_5Z0qRuC1rHlimt5PrV1qdIJlxVwfdtCcZaum-0PCu84.jpg', 'https://fastly.4sqi.net/img/general/original/92225948_Y5FXMa6bDuKVuFMkE79qNujcXnOtc317Yqn7MMvQYb4.jpg', 'https://fastly.4sqi.net/img/general/original/50425214_y-FnMWd3lUaUHul2AbsZYfP1wX_SgkowJ9ZYtyt-7Cc.jpg']"
['4bf7f5074a67c9280f6b24cf'],Al Bateen Public Beach,Abu Dhabi,['Beach'],أبوظبي,24.4289,54.375973,"['Free family public beach,  crowded on weekends,  quiet on weekdays. Nice small playground and grass area for picnics', 'All  Beach landscaping, Design, Play equipment & Pvt swimmin pool 4 ladies, joggin trck  was all done by our Company ""RG"" We were instructed to built it only in 7 days as per the sheikh instructions !', ""Quite place, with amazing sunset view, a bridge like San Francisco's one at the horizon. Toilet facilities, showers and small kiosks to purchase snacks around"", 'Has a great little cafe that serves perfect lunches for the beach.', 'Very clean and empty for more privacy', 'Beautiful and clean, the view and water is much better than the ladies beach!  Highly recommended', 'Use iphone app #mapmyrun to record your walk or run ... 👍', 'This is quite and relaxing place. Very good beach.', 'Want a sex toy of good quality with free&safe delivery? Get on our website and check: boundjoyuae.com 🚚🔞✅ 100% genuine and discreet shipping! Or just WhatsApp us on +12298050601', ""Good Place for a day out on the beach. But don't forget the sunscreen (unrella?) and the drinks.""]","['https://fastly.4sqi.net/img/general/original/536771024_5nBUMEQYBUk8PR9Xr3qG7OngpQWogoyeCbHOymfZ1Yk.jpg', 'https://fastly.4sqi.net/img/general/original/391765749_dIjeUz91nQ4hMm5wUwlBmCqvoYT9aT2J0tUoKb_OvUQ.jpg', 'https://fastly.4sqi.net/img/general/original/391765749_WY5Ha7FMiSOuhZOM1Ppomz-4_M4YmGc6jNT6InZfzkI.jpg', 'https://fastly.4sqi.net/img/general/original/556979359_RlE7TAlTL9lmu1NFLc1mYTFcc0agtdbalwQKpF_58wI.jpg', 'https://fastly.4sqi.net/img/general/original/556979359_agIA5ulbRxAI8uLZArOpFsF9XjJD6mOjUpz4KdQbDZs.jpg', 'https://fastly.4sqi.net/img/general/original/1296389_lsYBrEawnIMb1es7NKZ65LcVw6tvXjZRBLY8_L7YIZU.jpg', 'https://fastly.4sqi.net/img/general/original/504367091_q2P2mPXs9CbSlyE6NypfjO4Vk1c9wDfU8ypbEV3NDfo.jpg', 'https://fastly.4sqi.net/img/general/original/525047666_B0UG7xGncIoxLRuDNW_S7eB5f35rmKI5u6DyZwYw-lA.jpg', 'https://fastly.4sqi.net/img/general/original/508011158_tLkpU3iTxE_m3LZ5K0bwnqPXnWDd1LfBsFOxEzQCWew.jpg', 'https://fastly.4sqi.net/img/general/original/513551580_imUfWH9qYw-ku7aTaFeXSWBD31pLM4b5fR9z8KCPuNo.jpg']"
